objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Arkham Horror: The Card Game – The Circle Undone: Investigator Expansion","382509","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","132775828","5.82496","8.79366","3.75","0","3040","thing","Arkham Horror: The Card Game – The Circle Undone: Investigator Expansion","1","4","180","180","45","2023","1,2,3,4","2,3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Drowned City: Campaign Expansion","428879","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","144444706","5.68866","7.84304","3.8571","0","3370","thing","Arkham Horror: The Card Game – The Drowned City: Campaign Expansion","1","4","180","180","45","2025","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Drowned City: Investigator Expansion","428880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143880649","5.7091","8.79832","3.6667","0","3167","thing","Arkham Horror: The Card Game – The Drowned City: Investigator Expansion","1","4","180","180","45","2025","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Dunwich Legacy: Expansion","208545","10","0","0","1","0","0","0","0","0","0","0","3","","Cycle: The Dunwich Legacy #1 & #2","","","","75536093","7.28357","8.41262","3.4603","0","20818","thing","Arkham Horror: The Card Game – The Dunwich Legacy: Expansion","1","2","120","120","60","2017","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Essex County Express: Mythos Pack","212734","0","0","0","1","0","0","0","0","0","0","0","1","","Cycle: The Dunwich Legacy #4","","","","78752266","6.6382","8.32574","3.7419","0","12117","thing","Arkham Horror: The Card Game – The Essex County Express: Mythos Pack","1","4","120","120","60","2017","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Feast of Hemlock Vale: Campaign Expansion","398893","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","143883068","5.98485","8.75587","4.1","0","4824","thing","Arkham Horror: The Card Game – The Feast of Hemlock Vale: Campaign Expansion","1","4","90","90","90","2024","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Forgotten Age: Campaign Expansion","377055","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","132510708","5.97706","8.55783","3.9091","0","3996","thing","Arkham Horror: The Card Game – The Forgotten Age: Campaign Expansion","1","4","180","180","45","2023","1,2,3,4","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Midwinter Gala: Scenario Pack","424487","0","0","0","0","0","1","0","1","0","0","1","2","","","","","","143883079","5.67919","8.23212","3.5","0","2855","thing","Arkham Horror: The Card Game – The Midwinter Gala: Scenario Pack","1","4","120","120","60","2024","1,2,3,4","2","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Miskatonic Museum: Mythos Pack","210025","0","0","0","1","0","0","0","0","0","0","0","1","","Cycle: The Dunwich Legacy #3","","","","78752263","6.5579","8.05233","3.3667","0","12776","thing","Arkham Horror: The Card Game – The Miskatonic Museum: Mythos Pack","1","4","120","120","60","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Path to Carcosa: Campaign Expansion","358212","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","127007068","6.40934","8.9453","3.6875","0","6384","thing","Arkham Horror: The Card Game – The Path to Carcosa: Campaign Expansion","1","4","180","180","45","2022","1,2,3,4","2,3","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
