objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Sherlock Holmes Consulting Detective: Carlton House & Queen's Park","223931","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","73455242","6.37741","7.72765","2.25","1645","7173","thing","Sherlock Holmes Consulting Detective: Carlton House & Queen's Park","1","8","90","90","90","2017","1,2,3,4,5","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","204305","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","73455236","6.95644","7.54975","2.2115","551","18551","thing","Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","1","8","90","90","90","2016","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: The Baker Street Irregulars","296345","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","129725235","6.61086","8.18253","2.2778","1077","6755","thing","Sherlock Holmes Consulting Detective: The Baker Street Irregulars","1","8","90","90","90","2020","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","6","0","0","0","0","0","0","0","0","0","0","3","","","","","","89218324","7.01038","7.17152","1.1139","490","46994","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sky Runner","482","5","0","0","0","0","0","0","0","1","0","0","1","","Given to Crystal Floydd on Buy Nothing","","","","3493889","5.50202","5.54565","1.5526","25150","884","thing","Sky Runner","2","5","30","30","30","1999","3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sky Team","373106","5","2","0","0","0","0","0","0","0","0","1","5","","","","","","125926138","7.88641","8.12037","2.0373","33","64870","thing","Sky Team","2","2","20","20","20","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sleeping Gods","255984","8.5","9","0","1","0","0","0","0","0","0","0","4","","","","","","68776296","7.68739","8.09035","3.2649","71","35619","thing","Sleeping Gods","1","4","1200","1200","60","2021","1,2,3","1,2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sleeping Gods: Primeval Peril","362205","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","141476608","6.08841","7.47849","2.6897","2706","5840","thing","Sleeping Gods: Primeval Peril","1","2","240","240","120","2023","1,2","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sleeping Gods: Tides of Ruin","283766","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141471975","6.49053","8.5227","3.1429","0","12008","thing","Sleeping Gods: Tides of Ruin","1","4","1200","1200","60","2021","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Sleeping Queens","17053","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","140146731","6.10647","6.47632","1.0561","2615","14109","thing","Sleeping Queens","2","5","20","20","20","2005","2,3,4,5","4,5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Small World","40692","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","47622915","7.08493","7.19135","2.3468","403","103896","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sorry!","2407","5","0","1","1","0","0","0","0","1","0","0","1","","","","","","3493812","4.70234","4.55616","1.1583","30558","13262","thing","Sorry!","2","4","30","30","30","1929","2,3,4","4","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Alert","38453","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","55974640","7.10856","7.37766","2.9699","378","24045","thing","Space Alert","1","5","30","30","30","2008","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Base","242302","8","84","0","0","0","1","0","0","0","0","1","3","","","","","","68463615","7.32199","7.53924","2.1315","225","32201","thing","Space Base","2","5","60","60","60","2018","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Space Base: The Emergence of Shy Pluto","266483","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","133062422","6.35942","7.69638","2.125","0","7632","thing","Space Base: The Emergence of Shy Pluto","2","5","75","75","30","2019","2,3,4,5","4","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Spaceteam","184491","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","42194473","5.98101","6.55549","1.0714","3286","5778","thing","Spaceteam","3","6","5","5","5","2015","4,5,6","6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Spirit Island","162886","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","68760352","8.14231","8.34013","4.0738","11","97551","thing","Spirit Island","1","4","120","120","90","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor","148228","7","1","0","1","0","0","0","0","0","0","0","2","","","","","","34221605","7.29264","7.42045","1.7755","243","138290","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor Duel","364073","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","129929179","7.55734","7.87641","2.0217","111","37888","thing","Splendor Duel","2","2","30","30","30","2022","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spooktacular","420931","0","0","0","0","0","0","0","1","0","0","1","5","","Similar to Villainous","","","","139883565","6.09122","7.54302","2","2690","2181","thing","Spooktacular","1","5","45","45","45","2025","2,3,4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Spy Alley","1986","4","1","0","0","0","0","0","0","1","0","0","1","","","","","","3493883","5.54859","5.73296","1.5077","13436","3734","thing","Spy Alley","2","6","45","45","45","1992","3,4,5,6","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall","166384","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","56716363","6.59687","6.73686","1.2298","1104","30910","thing","Spyfall","3","8","15","15","15","2014","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Squint","3595","5","0","1","0","0","0","0","0","1","0","0","1","","","","","","3493734","5.6047","5.97235","1.3582","9166","1273","thing","Squint","3","8","30","30","30","2002","3,4,5,6,7,8","4,5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Trek: Frontiers","182340","0","0","0","0","0","0","0","0","0","0","0","4","","","","","","71431736","6.52734","7.83273","4.3471","1257","5189","thing","Star Trek: Frontiers","1","4","240","240","60","2016","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Armada","163745","0","0","0","0","0","0","0","0","1","0","0","1","","","","","","48259216","7.02631","7.80892","3.1538","469","11411","thing","Star Wars: Armada","2","2","120","120","120","2015","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Epic Duels","3284","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","75593548","6.32352","7.02536","1.7828","1788","4724","thing","Star Wars: Epic Duels","2","6","30","30","30","2002","2,4,6","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","0","0","0","0","0","0","0","0","1","0","0","1","","Trade for Mage Knight","","","","48259192","7.648","7.95198","3.3011","86","45119","thing","Star Wars: Imperial Assault","2","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: The Clone Wars","370913","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","143814929","6.81084","7.51819","2.1642","739","12756","thing","Star Wars: The Clone Wars","1","5","60","60","60","2022","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Unlock!","312267","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","72534859","6.41605","7.03935","1.8929","1527","8966","thing","Star Wars: Unlock!","1","6","60","60","60","2020","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stationfall","316624","3","2","0","0","0","0","0","0","0","0","0","3","","","","","","140033168","6.77343","7.70647","3.9559","796","5598","thing","Stationfall","1","9","150","150","60","2023","3,4,5,6","4,5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Steam Up: A Feast of Dim Sum","307561","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","89883761","5.94946","6.66753","1.5745","3485","4602","thing","Steam Up: A Feast of Dim Sum","2","5","60","60","40","2023","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Steam Works","143176","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","38501237","5.94049","6.77376","3.1364","3562","2574","thing","Steam Works","2","5","120","120","90","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Stella: Dixit Universe","329845","8","3","0","0","0","0","0","0","0","0","0","3","","Family loves this!","","","","132606438","6.65831","7.27623","1.16","988","9259","thing","Stella: Dixit Universe","3","6","30","30","30","2021","3,4,5,6","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Stokerverse","431169","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","131732097","0","7.71053","1","0","40","thing","Stokerverse","2","6","40","20","40","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Stuffed Fables","233312","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","70443041","6.90963","7.40022","2.4615","604","22830","thing","Stuffed Fables","2","4","90","90","60","2018","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stupid Deaths","258855","3","1","0","0","0","0","0","0","1","0","0","1","","Sold on FB for $5","","","","92121126","5.30453","4.34763","1","30474","1859","thing","Stupid Deaths","2","6","0","0","0","2018","4,5,6","6","6+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Survivor","3623","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","8949638","5.37562","3.97232","1.2","30398","587","thing","Survivor","4","8","60","60","60","2000","4,5,6,7,8","4,8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","5","0","0","1","0","0","0","0","1","0","0","1","","","","","","38505774","6.86957","6.98227","1.1644","657","97980","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Suspects: Adele and Neville, Investigative Reporters","387202","6","2","0","1","0","0","0","0","0","0","0","1","","","","","","129720687","5.59431","7.54071","2.3333","9691","516","thing","Suspects: Adele and Neville, Investigative Reporters","1","6","90","90","60","2023","1,2,3,4","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories","146508","10","0","0","1","0","0","0","0","0","0","0","1","","","","","","47622847","7.14","7.34348","2.5864","353","43528","thing","T.I.M.E Stories","2","4","90","90","90","2015","2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"T.I.M.E Stories: A Prophecy of Dragons","189035","9","1","0","1","0","0","0","0","0","0","0","1","","","","","","52147922","6.88991","7.51774","2.6447","0","15480","thing","T.I.M.E Stories: A Prophecy of Dragons","2","4","180","180","90","2016","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Brotherhood of the Coast","220839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127260905","6.32768","7.6302","2.8","0","6256","thing","T.I.M.E Stories: Brotherhood of the Coast","2","4","240","240","90","2018","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Expedition – Endurance","193527","5","1","0","1","1","0","0","0","0","0","0","1","","Consigned at Uncles's","","","","132407276","6.57039","7.35572","2.25","0","10346","thing","T.I.M.E Stories: Expedition – Endurance","2","4","90","90","60","2017","3,4","4","14+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Lumen Fidei","213099","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127260978","6.4481","7.38312","2.9412","0","8774","thing","T.I.M.E Stories: Lumen Fidei","2","4","90","0","90","2017","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: The Marcy Case","180585","8","1","0","1","0","0","0","0","0","0","0","1","","YOLO, Want to replay","","","","52147923","6.95642","7.48006","2.6733","0","17006","thing","T.I.M.E Stories: The Marcy Case","2","4","90","90","60","2015","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"T.I.M.E Stories: Under the Mask","189686","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","132407498","6.60373","7.26156","2.4583","0","12470","thing","T.I.M.E Stories: Under the Mask","2","4","90","0","90","2016","2,3,4","4","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Taboo","1111","4","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493903","6.14089","6.32021","1.1991","2464","28316","thing","Taboo","4","10","20","20","20","1989","4,5,6,7,8,9,10","6,8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Taco Cat Goat Cheese Pizza","253664","0","0","0","1","0","0","0","0","1","0","0","3","","","","","","66276281","6.16465","6.47462","1.0338","2348","25759","thing","Taco Cat Goat Cheese Pizza","2","8","30","30","10","2018","3,4,5,6,7,8","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tainted Grail: Kings of Ruin","360366","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","141876646","6.34999","8.63941","3.2857","1706","6132","thing","Tainted Grail: Kings of Ruin","1","4","120","120","90","2024","1,2","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tainted Grail: The Fall of Avalon","264220","0","0","0","0","0","0","0","1","0","0","0","4","","Chris has it, no need to buy it!","","","","79599440","7.49773","8.02812","3.3712","136","28291","thing","Tainted Grail: The Fall of Avalon","1","4","120","120","60","2019","1,2,3","1,2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales of the Arabian Nights","34119","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","132533751","6.84226","7.15551","2.155","701","18463","thing","Tales of the Arabian Nights","2","6","120","120","120","2009","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales of the Arabian Nights: 40th Anniversary","432392","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","132533757","5.57417","8.12778","2","10982","602","thing","Tales of the Arabian Nights: 40th Anniversary","1","6","120","120","120","2026","1,2,3,4","1,2","12","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tales of the Arthurian Knights","377704","0","0","0","0","0","0","1","1","0","0","1","3","","","","","","131782616","6.01723","7.94394","2.25","3072","1875","thing","Tales of the Arthurian Knights","1","4","180","180","120","2024","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Teenage Mutant Ninja Turtles: Shadows of the Past","180771","0","0","0","0","0","0","0","0","1","0","0","3","","Sold for $45","","","","56460891","6.11649","7.36646","2.7353","2575","3969","thing","Teenage Mutant Ninja Turtles: Shadows of the Past","2","5","90","90","60","2016","2,3,4,5","2,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Telestrations","46213","8","0","0","1","0","0","0","0","1","0","0","3","","","","","","144049469","7.14575","7.37693","1.0697","348","32256","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Temporum","162263","3","0","0","0","0","0","0","0","1","0","0","1","","Given to Jaime","","","","42790559","5.76304","6.34689","2.1538","5246","1361","thing","Temporum","2","5","35","35","35","2014","2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Terminal","306945","0","0","0","0","0","0","0","0","1","0","0","3","","Deadbolt / DMS
","","","","110632302","0","0","0","0","9","thing","Terminal","1","6","240","240","45","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Terra Mystica","120677","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","35326507","7.85962","8.03315","3.9721","35","55043","thing","Terra Mystica","2","5","150","150","60","2012","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","47622865","8.18713","8.33802","3.2716","9","159378","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars: Ares Expedition","328871","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","115057952","7.37407","7.63649","2.9241","189","40032","thing","Terraforming Mars: Ares Expedition","1","4","60","60","45","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars: Prelude","247030","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","142469933","8.41344","8.84793","2.5643","0","53078","thing","Terraforming Mars: Prelude","1","5","120","120","90","2018","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride","9209","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","11773013","7.26124","7.38565","1.8201","258","148786","thing","Ticket to Ride","2","5","60","60","30","2004","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TIME Stories Revolution: A Midsummer Night","271524","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142983101","5.71528","6.67234","2.3125","5988","3346","thing","TIME Stories Revolution: A Midsummer Night","1","4","180","180","180","2020","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"TIME Stories Revolution: Experience","284819","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142983116","5.61298","6.62522","3","0","2848","thing","TIME Stories Revolution: Experience","1","4","180","180","180","2020","1,2,3,4","2","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"TIME Stories Revolution: The Hadal Project","287742","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","132430712","5.90449","6.94351","2.5714","3823","4370","thing","TIME Stories Revolution: The Hadal Project","1","4","180","180","180","2020","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Timescape: Saving Shakespeare","408635","5","0","0","0","0","0","0","0","1","0","0","3","","Sold - Uncle's RTC","","","","126755285","0","5.66667","1.5","0","25","thing","Timescape: Saving Shakespeare","1","99","60","60","60","2023","1,2","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Crimes","374039","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","137048807","5.74091","6.82075","2.6154","5557","3312","thing","Tiny Epic Crimes","1","4","60","60","30","2023","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Cthulhu","404893","0","0","0","0","0","0","0","0","0","0","1","5","","","","","","137048816","5.73188","6.92528","2.8571","5711","3052","thing","Tiny Epic Cthulhu","1","4","45","45","30","2024","1,2,3,4","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Defenders","155708","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","135987268","5.89445","6.24092","1.8241","3904","7593","thing","Tiny Epic Defenders","1","4","30","30","30","2015","1,2,3,4","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Defenders (Second Edition)","238656","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","129262028","6.1254","6.91975","2.05","2533","5694","thing","Tiny Epic Defenders (Second Edition)","1","4","60","60","30","2018","1,2,3,4","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Galaxies","163967","0","0","0","0","0","1","0","0","0","0","0","1","","","","","","110140465","7.0966","7.31878","2.1547","393","41734","thing","Tiny Epic Galaxies","1","5","45","45","30","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Tactics","272409","0","0","0","0","0","0","0","0","1","0","0","3","","Bought at Zulu Bazaar for $6
Sold at OrcaCon for $6","","","","137045717","5.94248","6.65237","2.5676","3542","7054","thing","Tiny Epic Tactics","1","4","60","60","30","2019","1,2,3,4","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Zombies","244536","0","0","0","0","0","1","0","0","0","0","0","1","","","","","","110140463","6.46848","6.94269","2.4962","1391","18658","thing","Tiny Epic Zombies","1","5","45","45","30","2018","1,2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Tokaido","123540","6","0","0","1","0","0","0","0","1","0","0","1","","","","","","44358193","6.7402","6.91067","1.7426","840","44638","thing","Tokaido","1","5","45","45","45","2012","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Townsfolk Tussle","312859","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","103445583","6.43701","7.6845","2.5902","1484","4772","thing","Townsfolk Tussle","1","5","200","200","40","2022","2,3,4,5","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Toy Battle","434654","7","0","0","0","0","0","0","0","0","0","0","3","","","","","","140027691","7.08171","7.79996","1.4604","407","9911","thing","Toy Battle","2","2","15","15","15","2025","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TransAmerica","2842","5","0","1","0","0","0","0","0","1","0","0","1","","","","","","3493806","6.41114","6.69335","1.3467","1543","8709","thing","TransAmerica","2","6","30","30","30","2001","3,4,5,6","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Trash Pandas","216439","0","0","0","1","0","0","0","0","1","0","0","3","","","","","","66276293","6.03417","6.49978","1.4259","2990","10538","thing","Trash Pandas","2","4","20","20","15","2017","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Trivial Pursuit: 20th Anniversary Edition","4492","4","0","0","0","0","0","0","0","0","0","0","1","","","","","","3493852","5.36906","5.22759","1.7765","30408","3784","thing","Trivial Pursuit: 20th Anniversary Edition","2","6","180","180","180","2002","2,3,4,5,6","4,6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Trouble","1410","5","0","0","1","0","0","0","0","1","0","0","1","","","","","","56643649","4.36033","3.8774","1.0679","30566","8359","thing","Trouble","2","4","45","45","45","1965","2,3,4","4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tsuro","16992","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","140684396","6.53357","6.6676","1.2187","1240","47020","thing","Tsuro","2","8","20","20","15","2005","2,3,4,5,6,7,8","4,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Turing Machine","356123","5","3","0","0","0","0","0","0","0","0","1","5","","","","","","137961468","7.17935","7.60756","2.5408","321","19594","thing","Turing Machine","1","4","20","20","20","2022","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Turning the Tables","5806","1","0","0","0","0","0","0","0","1","0","0","3","","Gave to Ginny --> Donated to Goodwill","","","","126912377","0","4.4","0","0","14","thing","Turning the Tables","2","6","60","60","60","1990","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Twilight Imperium: Fourth Edition","233078","8","2","0","0","0","0","0","1","0","0","0","3","","","","","","77779551","8.21907","8.56438","4.3539","7","33719","thing","Twilight Imperium: Fourth Edition","3","6","480","480","240","2017","3,4,5,6","6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tzolk'in: The Mayan Calendar","126163","0","0","0","0","0","0","0","0","1","0","0","1","","Sold","","","","48386658","7.6828","7.84633","3.6646","73","50409","thing","Tzolk'in: The Mayan Calendar","2","4","90","90","90","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Unfathomable","340466","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","88875798","6.91059","7.4646","3.1244","603","15517","thing","Unfathomable","3","6","240","240","120","2021","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock! Kids: Detective Stories","327056","0","0","0","0","0","1","0","0","0","0","0","1","","","","","","79060424","6.24281","7.64841","1.5","2058","3127","thing","Unlock! Kids: Detective Stories","1","4","60","60","20","2021","1,2,3","2","6–12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Epic Adventures","294612","8","0","0","0","0","0","0","0","1","0","0","1","","Traded w/ Thomas for Unlock Heroic.","","","","73577432","6.67309","7.6474","2.12","961","6680","thing","Unlock!: Epic Adventures","1","6","60","60","60","2019","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Unlock!: Escape Adventures","213460","7","1","0","0","0","0","0","0","1","0","0","3","","Sold to Ben","","","","72503863","6.84535","7.3257","2.1215","697","11784","thing","Unlock!: Escape Adventures","2","6","75","75","45","2017","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
